incid   pop   Age  Period Cohort
 177 301000 50-54 1935-39 1885-89
 262 212000 55-59 1935-39 1880-84
 360 159000 60-64 1935-39 1875-79
 409 132000 65-69 1935-39 1870-74
 328  76000 70-74 1935-39 1865-69
 222  37000 75-79 1935-39 1860-64
 108  19000 80-84 1940-44 1855-59
 271 317000 50-54 1940-44 1890-94
 350 248000 55-59 1940-44 1885-89
  479 194000 60-64 1940-44 1880-84
  544 144000 65-69 1940-44 1875-79
  509  94000 70-74 1940-44 1870-74
  359  47000 75-79 1940-44 1865-69
  178  22000 80-84 1945-49 1860-64
  312 353000 50-54 1945-49 1895-99
  552 279000 55-59 1945-49 1890-94
  644 222000 60-64 1945-49 1885-89
  812 169000 65-69 1945-49 1880-84
  763 110000 70-74 1945-49 1875-79
  584  59000 75-79 1945-49 1870-74
  285  32000 80-84 1950-1954 1865-69
  382 395000 50-54 1950-1954 1900-04
  620 301000 55-59 1950-1954 1895-99
  949 222000 60-64 1950-1954 1890-94
 1150 210000 65-69 1950-1954 1885-89
 1097 125000 70-74 1950-1954 1880-84
  845  71000 75-79 1950-1954 1875-79
  475  39000 80-84 1955-1959 1870-74
  321 426000 50-54 1955-1959 1905-09
  714 358000 55-59 1955-1959 1900-04
  932 258000 60-64 1955-1959 1895-99
 1668 230000 65-69 1955-1959 1890-94
 1593 149000 70-74 1955-1959 1885-89
 1192  91000 75-79 1955-1959 1880-84
  742  44000 80-84 1960-1964 1875-79
  305 473000 50-54 1960-1964 1910-14
  649 411000 55-59 1960-1964 1905-09
 1292 304000 60-64 1960-1964 1900-04
 1958 264000 65-69 1960-1964 1895-99
 2039 180000 70-74 1960-1964 1890-94
 1638 108000 75-79 1960-1964 1885-89
  992  56000 80-84 1965-1969 1880-84
  308 498000 50-54 1965-1969 1915-19
  738 443000 55-59 1965-1969 1910-14
 1327 341000 60-64 1965-1969 1905-09
 2153 297000 65-69 1965-1969 1900-04
 2433 197000 70-74 1965-1969 1895-99
 2068 118000 75-79 1965-1969 1890-94
 1374  66000 80-84 1965-1969 1885-89
